query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order
query_1,TRUE,1.37766594543119e-36,1317,286,85,0.297202797202797,0.064540622627183,GO:0002376,GO:BP,immune system process,24356,1042
query_1,TRUE,1.58680908020027e-30,718,286,60,0.20979020979021,0.0835654596100279,GO:0006955,GO:BP,immune response,24356,2907
query_1,TRUE,8.14610243088832e-30,5079,286,151,0.527972027972028,0.0297302618625714,GO:0050896,GO:BP,response to stimulus,24356,15476
query_1,TRUE,3.77638973097975e-25,3439,286,116,0.405594405594406,0.0337307356789764,GO:0007165,GO:BP,signal transduction,24356,3085
query_1,TRUE,1.1305637289259e-24,467,286,45,0.157342657342657,0.0963597430406852,GO:0002684,GO:BP,positive regulation of immune system process,24356,1338
query_1,TRUE,2.8816251974556e-23,3782,286,119,0.416083916083916,0.0314648334214701,GO:0007154,GO:BP,cell communication,24356,3074
query_1,TRUE,4.80144631993458e-23,381,286,40,0.13986013986014,0.10498687664042,GO:0050776,GO:BP,regulation of immune response,24356,15379
query_1,TRUE,5.11500597212124e-23,718,286,52,0.181818181818182,0.0724233983286908,GO:0002682,GO:BP,regulation of immune system process,24356,1336
query_1,TRUE,1.24889387064186e-22,579,286,47,0.164335664335664,0.0811744386873921,GO:0001775,GO:BP,cell activation,24356,565
query_1,TRUE,2.35476549721161e-22,530,286,45,0.157342657342657,0.0849056603773585,GO:0045321,GO:BP,leukocyte activation,24356,13277
query_1,TRUE,5.00999771671308e-22,457,286,42,0.146853146853147,0.0919037199124726,GO:0046649,GO:BP,lymphocyte activation,24356,14327
query_1,TRUE,9.00339675324635e-22,3754,286,116,0.405594405594406,0.0309003729355354,GO:0023052,GO:BP,signaling,24356,7683
query_1,TRUE,1.01778955406691e-21,231,286,32,0.111888111888112,0.138528138528139,GO:0030098,GO:BP,lymphocyte differentiation,24356,7736
query_1,TRUE,1.35981710587021e-21,6993,286,165,0.576923076923077,0.0235950235950236,GO:0050789,GO:BP,regulation of biological process,24356,15387
query_1,TRUE,5.19822447128499e-21,308,286,35,0.122377622377622,0.113636363636364,GO:0050778,GO:BP,positive regulation of immune response,24356,15381
